tweet_id,name,type,rating_score,favorite_count,retweet_count,jpg_url,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
892420643555336193,Phineas,none,1.3,39467,8853,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,orange,0.0970486,False,bagel,0.0858511,False,banana,0.07611,False
892177421306343426,Tilly,none,1.3,33819,6514,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,chihuahua,0.323581,True,pekinese,0.0906465,True,papillon,0.0689569,True
891815181378084864,Archie,none,1.2,25461,4328,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,chihuahua,0.716012,True,malamute,0.078253,True,kelpie,0.0313789,True
891689557279858688,Darla,none,1.3,42908,8964,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,paper towel,0.1702779999999999,False,labrador retriever,0.1680859999999999,True,spatula,0.0408359,False
891327558926688256,Franklin,none,1.2,41048,9774,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712,True,english springer,0.2257699999999999,True,german short-haired pointer,0.175219,True
891087950875897856,,none,1.3,20562,3261,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,chesapeake bay retriever,0.425595,True,irish terrier,0.116317,True,indian elephant,0.0769021999999999,False
890971913173991426,Jax,none,1.3,12041,2158,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,appenzeller,0.341703,True,border collie,0.199287,True,ice lolly,0.193548,False
890729181411237888,,none,1.3,56848,16716,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,pomeranian,0.566142,True,eskimo dog,0.1784059999999999,True,pembroke,0.0765069,True
890609185150312448,Zoey,none,1.3,28226,4429,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,irish terrier,0.4875739999999999,True,irish setter,0.193054,True,chesapeake bay retriever,0.118184,True
890240255349198849,Cassie,doggo,1.4,32467,7711,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,pembroke,0.511319,True,cardigan,0.451038,True,chihuahua,0.0292482,True
890006608113172480,Koda,none,1.3,31166,7624,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,samoyed,0.957979,True,pomeranian,0.0138835,True,chow,0.00816748,True
889880896479866881,Bruno,none,1.3,28268,5156,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,french bulldog,0.377417,True,labrador retriever,0.151317,True,muzzle,0.0829811,False
889665388333682689,,puppo,1.3,38818,8538,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,pembroke,0.966327,True,cardigan,0.0273557,True,basenji,0.00463323,True
889638837579907072,Ted,none,1.2,27672,4735,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,french bulldog,0.99165,True,boxer,0.00212864,True,staffordshire bullterrier,0.00149818,True
889531135344209921,Stuart,puppo,1.3,15359,2321,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden retriever,0.953442,True,labrador retriever,0.0138341,True,redbone,0.00795775,True
889278841981685760,Oliver,none,1.3,25652,5637,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,0.626152,True,borzoi,0.194742,True,saluki,0.0273507,True
888917238123831296,Jim,none,1.2,29611,4709,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden retriever,0.714719,True,tibetan mastiff,0.1201839999999999,True,labrador retriever,0.1055059999999999,True
888804989199671297,Zeke,none,1.3,26080,4559,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden retriever,0.46976,True,labrador retriever,0.184172,True,english setter,0.0734817,True
888554962724278272,Ralphus,none,1.3,20290,3732,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,siberian husky,0.700377,True,eskimo dog,0.166511,True,malamute,0.111411,True
888078434458587136,Gerald,none,1.2,22201,3653,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,french bulldog,0.995026,True,pug,0.000931908,True,bull mastiff,0.000903211,True
887705289381826560,Jeffrey,none,1.3,30779,5609,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,0.821664,True,redbone,0.0875815,True,weimaraner,0.0262364,True
887517139158093824,NaN,none,1.4,46959,12082,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,limousine,0.130432,False,tow truck,0.0291754,False,shopping cart,0.0263208,False
887473957103951883,Canela,none,1.3,69871,18781,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,pembroke,0.809197,True,rhodesian ridgeback,0.05495,True,beagle,0.0389148,True
887343217045368832,,none,1.3,34222,10737,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,mexican hairless,0.330741,True,sea lion,0.275645,False,weimaraner,0.134203,True
887101392804085760,,none,1.2,31061,6167,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,samoyed,0.733942,True,eskimo dog,0.0350295,True,staffordshire bullterrier,0.0297047,True
886983233522544640,Maya,none,1.3,35859,8084,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,chihuahua,0.793469,True,toy terrier,0.143528,True,can opener,0.0322529,False
886736880519319552,Mingus,none,1.3,12306,3443,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,kuvasz,0.309706,True,great pyrenees,0.186136,True,dandie dinmont,0.0863463,True
886680336477933568,Derek,none,1.3,22798,4610,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,convertible,0.738995,False,sports car,0.139952,False,car wheel,0.0441726999999999,False
886366144734445568,Roscoe,pupper,1.2,21524,3316,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,french bulldog,0.999201,True,chihuahua,0.000361178,True,boston bull,7.55616e-05,True
886258384151887873,Waffles,none,1.3,28469,6523,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,pug,0.943575,True,shower cap,0.0252856,False,siamese cat,0.00284892,False
885984800019947520,Jimbo,none,1.2,33382,7097,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,blenheim spaniel,0.972494,True,shih-tzu,0.00663012,True,bernese mountain dog,0.00623915,True
885528943205470208,Maisey,none,1.3,36689,6683,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,pug,0.369275,True,labrador retriever,0.265835,True,kuvasz,0.134697,True
885167619883638784,,none,1.3,22367,4556,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,malamute,0.8124819999999999,True,siberian husky,0.0717125,True,eskimo dog,0.0557697,True
884925521741709313,Earl,none,1.2,68152,16439,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,italian greyhound,0.259916,True,american staffordshire terrier,0.198451,True,staffordshire bullterrier,0.127725,True
884876753390489601,Lola,none,1.3,28514,6096,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,chow,0.822103,True,norwich terrier,0.106075,True,norfolk terrier,0.0373485,True
884562892145688576,Kevin,none,1.3,24765,5100,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,pug,0.5464060000000001,True,french bulldog,0.404291,True,brabancon griffon,0.0440019,True
884441805382717440,,none,1.4,27478,5856,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,pembroke,0.993225,True,cardigan,0.00321648,True,chihuahua,0.00208089,True
884162670584377345,Yogi,doggo,1.2,20771,3128,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,german shepherd,0.707046,True,malinois,0.199396,True,norwegian elkhound,0.0491476,True
883838122936631299,Noah,none,1.2,22349,3586,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,doberman,0.610946,True,miniature pinscher,0.299603,True,kelpie,0.0630203,True
883482846933004288,Bella,none,0.5,46860,10407,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,golden retriever,0.943082,True,labrador retriever,0.032409,True,kuvasz,0.00550072,True
